settlementdate,regionid,rrp,spike_driver_classification,classification_confidence,decision_confidence,market_situation,insight,recommendation,risk,totaldemand,availablegeneration,supply_demand_gap,price_change,rolling_rrp_volatility_1h,active_constraint_count,max_constraint_marginal_value,congestion_signal_count,vic_nsw_congestion_signal_flag,absolute_price_spread,divergence_flag,extreme_divergence_flag
2026-02-05 14:30:00,NSW1,20300.0,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10190.15,15492.52355,5302.37355,19842.65742,5793.80907312163,24,12.12,4.0,True,20308.0,True,True
2026-02-06 14:05:00,NSW1,19036.53,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,9651.93,15075.06206,5423.13206,18882.33,5801.771238452057,23,5.34,2.0,False,19022.81,True,True
2026-02-05 18:05:00,NSW1,9914.02372,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11811.76,13709.77609,1898.0160899999992,9634.2909,3719.9499002590815,22,20.23,2.0,False,9794.6979,True,True
2026-02-05 17:55:00,NSW1,9911.42681,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11901.45,14019.02209,2117.5720899999997,9608.77893,2762.209380494187,24,4.96,2.0,False,9854.92681,True,True
2026-02-05 16:35:00,NSW1,9240.83,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,11896.59,14384.92803,2488.338029999999,8641.47,2519.2810033612905,29,4.34,2.0,False,9231.88,True,True
2026-02-07 16:40:00,NSW1,9199.3,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11073.4,13443.2964,2369.8963999999996,9092.46,2617.222174142526,21,10.41,2.0,False,9142.8,True,True
2026-02-05 14:50:00,NSW1,9199.3,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10400.88,15793.28831,5392.408310000001,8801.87165,6180.72618804602,23,7.45,3.0,True,9206.06,True,True
2026-02-06 13:35:00,NSW1,9199.3,Constraint-driven,High,High,Price spike occurred during elevated constraint activity.,"Network constraint signals were present during the spike interval, suggesting dispatch limitations may have contributed to price formation.",Review binding or high-impact constraints around the interval and monitor whether similar constraints recur during peak demand or outage conditions.,Constraint-driven price outcomes can repeat quickly if the underlying network limitation remains active.,9613.17,15758.70193,6145.531929999999,8899.55,2580.566888120295,26,7.99,4.0,True,9206.00383,True,True
2026-02-05 14:40:00,NSW1,7380.80815,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,10203.66,15819.78989,5616.12989,6908.09033,5953.99890886786,24,9.19,2.0,True,7388.80815,True,True
2026-02-05 18:15:00,NSW1,1278.88,Interconnector/congestion-driven,High,High,Price spike occurred during interconnector or regional separation stress.,"Congestion-style signals or NSW1-VIC1 price divergence were present, indicating that regional transfer conditions may have influenced the price outcome.","Monitor interconnector flow, flow changes, and regional price spreads. Prioritise review of NSW1-VIC1 and neighbouring interconnector behaviour.",Regional prices may separate sharply if transfer capability is limited or flows cannot respond to price differences.,11744.07,13349.01575,1604.9457500000008,1012.34851,3695.194358523847,21,3.96,2.0,False,1178.88,True,True
